column_0,column_1
ASSAÍ PONTA NEGRA,4T2023
ASSAÍ BANGU (AV. BRASIL),4T2023
ASSAÍ OLINDA,4T2023
ASSAÍ JOAQUIM MURTINHO,4T2023
ASSAÍ BENFICA,4T2023
ASSAÍ GUNTER HANS,4T2023
ASSAÍ SALVADOR PARALELA,4T2023
ASSAÍ DUQUE DE CAXIAS PARQUE FLUMINENSE,4T2023
ASSAÍ BOULEVARD,4T2023
ASSAÍ CAIS DO PORTO,4T2023
ASSAÍ ANGELIM,4T2023
ASSAÍ FOZ DO IGUAÇU,4T2023
ASSAÍ MOSSORÓ,3T2023
ASSAÍ MONTESE,3T2023
ASSAÍ GUARULHOS CENTRO,3T2023
ASSAÍ SERRA,3T2023
ASSAÍ LIMEIRA ANEL VIÁRIO,3T2023
ASSAÍ MINAS SHOPPING,3T2023
ASSAÍ NOVA IGUAÇU VIA LIGHT,3T2023
ASSAÍ MOOCA,2T2023
ASSAÍ NITERÓI PONTE,2T2023
ASSAÍ RAUL VEIGA,2T2023
ASSAÍ PG LITORAL PLAZA,2T2023
ASSAÍ SANTA EFIGÊNIA,2T2023
Assaí São José dos Campos Colinas,1T2023
ASSAÍ COTIA CENTRO,1T2023
ASSAÍ GALEÃO,1T2023
ASSAÍ RÓTULA DO ABACAXI,1T2023
